v1,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_lbw,lbw_n,ch_stunt,stunting_n,ch_waste,wasting_n,ch_wastesev,severewasting_n,ch_uweight,underweight_n,ch_over,overweight_n,ch_anemic,anemia_ch_n,v26,bmi_f_lowbmiout,womenunderweight_n,bmi_f_highbmi,womenover_n,hypertension_women,womenhypertension_n,diabetes_women,womendiabetes_n,hb_f_anemia,anemia_nonpreg_n,preg_anemia,anemia_preg_n,pregwom_2019,v40,take100_ifa_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_cbf,n_iycf_introfood,n_iycf_minaccdiet0,n_iycf_mindd,n_iycf_minfreq,n_iycf_eff,n_iycf_swbvg,bottle,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,safe_disp,bpl_card,hh_healthins,fp_sat,iod_salt,mcp_rec,anc_firsttri,anc4,anc_weigh,counsel_birth_prepare,flw_breastcouns,protect_tetanus,ifa_rec,deworm_preg,icds_thr_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,icds_hlthcheck_lact,full_immun1,chvita_6m1,ch_ironsupp1,ch_deworm1,icds_thr6_35_child,icds_weight_child,icds_weightcounse_child,ch_ors,ch_zinc,ari_treat,icds_preschool_child,icds_hlthcheck_child
13,Assam,18,Hojai,667,985.64,,,,,,,,39.27,,12.68,,4.6,,28.35,,5.98,,56.78,,,19.31,,20.1,,20.95,,14.6,,56.58,,51.38,,,,50.54,16,54.89,64.26000000000001,,,2.66,,,,,,23.06,30.91,15.64,63.14,99.93000000000001,,,67.44,,98.88,98.34,52.67,51.34,,,,96.2,86.09999999999999,12.6,,82.05,30.9,83.45,63.9,68.39,,,,55.45,52.11,,,,,,,,44.68,,
14,Assam,18,Jorhat,312,1008.55,367155.6198,21557,17033,84111.00148000001,,,,38.68,32551,15.47,13037,5.06,4290,33.17,27925,5.43,4567,74.13,55988,84111.00148000001,22.54,82610,19.9,73064,25.86,94946,15.33,56285,72.42,265821,56.35,12158,21557,367155.6198,52.06,26.59,51.61,,,,11.47,,,,,,42.94,24.91,12.94,80.36,85.92,,,60.05,,98.90000000000001,99.19,78.31999999999999,66.95,,,,97.40000000000001,89.59999999999999,6.3,,96.48999999999999,41.9,97.40000000000001,81.44,85.38,,,,69.16,50.87,,,,,,,,56.64,,
15,Assam,18,Karbi Anglong,314,993.98,299433.6998,24215,17669,101859.4107,15103,,,31.61,32188,17.22,17520,8.699999999999999,8862,28.24,28724,4.29,4370,67.45999999999999,61763,101859.4107,10,29943,15.67,46921,20.1,60186,10.67,31950,59.54,178163,42.11,10195,24215,299433.6998,35.27,9.02,50.26,55.2,,,18.11,,,,,,30.26,26.13,9.09,75.16,79.56999999999999,,,54.09,,99.78,96.42,64.78,63.93,,,,90.94,89.3,5,,74.87,53.3,78.27,56.9,60.95,,,,64.31999999999999,44.92,,,,,,,,55.25,,
16,Assam,18,Majuli,668,995.39,,,,,,,,35.44,,14.12,,3.86,,22.21,,3.78,,72.95,,,17.99,,14.37,,19.67,,11.1,,68.14,,,,,,56.67,13.73,51.09,,,,14.2,,,,,,41.71,25.46,10.36,65.62,98.62,,,60.82,,99.78,98.44,76.08,72.23999999999999,,,,97.18000000000001,92.09999999999999,6.6,,90.29000000000001,62.6,93.5,73.54000000000001,73.45999999999999,,,,78.62,62.02,,,,,,,,56.35,,
17,Assam,18,Nagaon,305,1050.35,844179.3297,70787,61376,315243.9171,58012,,,38.89,122630,19.35,61157,5.15,16393,32.36,102139,7.38,23265,68.62,194265,315243.9171,21.49,181499,13.24,111769,16.44,138783,15.85,133802,60.97,514949,62.39,44171,70787,844179.3297,46.52,12.31,61.64,67.54000000000001,,,8.630000000000001,,,,,,22.13,42.57,14.96,66.09,96.12,,,59.39,,98.67,98.26000000000001,73.09,59.44,,,,97.05,91.2,11.3,,83.67,34.9,86.73999999999999,61.99,65.33,,,,58.23,47.9,,,,,,75.43000000000001,11.68,42.53,,
18,Assam,18,Sivasagar,311,988.58,382559.9079,20334,13736,94793.04171,,,,26.1,24741,21.06,20001,6.12,5782,25.93,24551,3.53,3346,67.45999999999999,57478,94793.04171,20.5,78425,21.46,82097,22.03,84278,15.29,58493,67.98,260141,54.33,11041,20334,382559.9079,53.74,23.8,54.87,,,,24.42,,,,,,47.06,27.87,12.76,82.26000000000001,92.65000000000001,,,60.66,,99.78,100,85.13,80.89,,,,96.53,95.7,5.3,,95.25,51.4,95.61,73.79000000000001,83.37,,,,77.62,64.94,,,,,,,,58.29,,
19,Assam,18,Sonitpur,306,1026.99,606333.2453,36462,35525,188007.0505,32788,,,36.67,68999,13.11,24629,4.53,8460,21.85,41174,3.23,6073,69.42,117208,188007.0505,21.4,129755,13.14,79672,24.83,150553,9.529999999999999,57784,64.28,389872,47.28,17247,36462,606333.2453,56.38,16.86,49.77,65.61,,,4.3,,,,,,24.25,24.02,6.51,72.15000000000001,82.87,,,66.92,,99.41,98.53,48.76,45.49,,,,99.23,91.40000000000001,14.2,,83.48999999999999,47.2,82.77,63.53,67.40000000000001,,,,70.90000000000001,58.67,,,,,,,,42.55,,
20,Assam,18,South Salmara Mancachar,669,967.5599999999999,,,,,,,,38.89,,18.22,,7.11,,27.86,,5.92,,69.56,,,11.94,,8.529999999999999,,15.46,,8.710000000000001,,58.24,,37.56,,,,47.43,18.27,50.37,66.26000000000001,,,7.12,,,,,,20.89,44.72,22,58.97,98.16,,,68.16,,98.94,99.37,60.14,35.33,,,,92.95999999999999,95.09999999999999,23.3,,71.70999999999999,34.2,79.38,62.61,56.07,,,,65.81999999999999,65.76000000000001,,,,,,,,60.92,,
21,Assam,18,West Karbi Anglong,670,958.74,,,,,,,,40.85,,23.21,,12.7,,31.1,,3.9,,79.03,,,13.07,,9.43,,16.98,,9.140000000000001,,58.78,,38.84,,,,39.85,10.58,56.17,75.64,,,12.77,,,,,,21.69,21.34,6.02,76.67,44.69,,,63.07,,98.94,98.73999999999999,55.54,46.72,,,,87.64,77.7,9.6,,72.51000000000001,67.3,84.48999999999999,55.71,60.5,,,,47.94,42.1,,,,,,,,50.7,,
22,Chhattisgarh,22,Balod,675,987.98,,13254,9844,,,,,33.56,,15.14,,8.039999999999999,,35.95,,7.7,,68.29000000000001,,,18.83,,12.16,,25.06,,8.1,,56.57,,48.61,6443,13254,,46.92,24.21,22.41,,,,2.87,,,,,,46.25,3.26,0,83.76000000000001,99.48999999999999,,,79.52,,96.73,99.42,72.73,81.45999999999999,,,,93.68000000000001,98,80,,97.34999999999999,59.9,99.15000000000001,90.84,89.06,,,,85.20999999999999,90.31999999999999,,,,,,,,,,
