v1,state,state_code,district,district_code,sex_ratio,wom_pop1549_2019,pw_registered_anc,live_births,ch_pop04_2019,insbirth,ch_lbw,lbw_n,ch_stunt,stunting_n,ch_waste,wasting_n,ch_wastesev,severewasting_n,ch_uweight,underweight_n,ch_over,overweight_n,ch_anemic,anemia_ch_n,v26,bmi_f_lowbmiout,womenunderweight_n,bmi_f_highbmi,womenover_n,hypertension_women,womenhypertension_n,diabetes_women,womendiabetes_n,hb_f_anemia,anemia_nonpreg_n,preg_anemia,anemia_preg_n,pregwom_2019,v40,take100_ifa_preg,ifa_180,iycf_earlybf35,iycf_exclbf0,n_iycf_cbf,n_iycf_introfood,n_iycf_minaccdiet0,n_iycf_mindd,n_iycf_minfreq,n_iycf_eff,n_iycf_swbvg,bottle,school10yr_women,wo2024_mar18,wom_pregmothers_1519,imp_latrine,imp_drinkw,safe_disp,bpl_card,hh_healthins,fp_sat,iod_salt,mcp_rec,anc_firsttri,anc4,anc_weigh,counsel_birth_prepare,flw_breastcouns,protect_tetanus,ifa_rec,deworm_preg,icds_thr_preg,inst_birth,jsy_rec1,ba_healthpro,mopostnat_2day_hp,chpostnat_2day_hp,icds_thr_lact,icds_hlthnut_lact,icds_hlthcheck_lact,full_immun1,chvita_6m1,ch_ironsupp1,ch_deworm1,icds_thr6_35_child,icds_weight_child,icds_weightcounse_child,ch_ors,ch_zinc,ari_treat,icds_preschool_child,icds_hlthcheck_child
70,Maharashtra,27,Thane,517,981.59,3617005.588,170239,144966,881409.5118,143839,,,40.76,359615,17.78,156891,6.96,61699,30.81,271474,4.95,43630,67.94,537615,881409.5118,18.93,683614,30.72,1111144,24.51,886528,15.69,567508,58.84,2126799,,,170239,3617005.588,54.93,32.18,54.33,,,,4.64,,,,,,55.92,18.37,4.03,74.68000000000001,96.73,,,22.73,,97.54000000000001,93.37,58.88,70.19,,,,97.42,86.90000000000001,28.2,,93.62,7,93.86,87.23,93.27,,,,74.90000000000001,68.73,,,,,,,,,,
71,Meghalaya,17,East Garo Hills,294,1025.95,101923.6566,5762,4505,23516.42534,1805,,,39.73,9336,20.08,4727,6.24,1458,26.54,6232,4.14,974,28,5915,23516.42534,8.51,8664,7.01,7145,15.3,15594,9.33,9509,52.14,53102,29.06,1677,5762,101923.6566,28.77,7,47.96,,,,43.92,,,,,,40.45,13.69,2.24,83.92,67,,,71.84999999999999,,69.02,92.12,59.24,25.52,,,,74.45,86,11.8,,73.81999999999999,14.8,80.83,59.91,57.49,,,,72.40000000000001,56.62,,,,,,79.09999999999999,63.34,64.06999999999999,,
72,Meghalaya,17,East Jantia Hills,660,1065.56,,4621,2617,,1089,,,49.83,,8.470000000000001,,2.85,,23.59,,3.67,,47.15,,,13.53,,15.21,,18.67,,6.3,,43.67,,46.49,,4621,,51.85,25.65,85.27,50.49,,63.08,25.46,,,,,,22.97,25.28,14.35,83.56999999999999,74.59,,,74.09999999999999,,97.17,94.56999999999999,55.54,58.62,,,,87.65000000000001,89,2.8,,48.4,27.8,55.7,49.08,44.98,,,,74.42,70,,,,,,72.79000000000001,42.21,72.04000000000001,,
73,Meghalaya,17,North Garo Hills,661,1008.8,,5349,3381,,1647,,,35.64,,11.72,,5.6,,15.83,,7.32,,30.15,,,7.68,,11.14,,19.95,,12.22,,58.9,,40.81,2182,5349,,23.74,7.94,62.26,,,,13.23,,,,,,38.43,13.19,3.73,84.89,51.51,,,60.84,,84.13,85.78,40.3,24.28,,,,55.53,69.09999999999999,6.3,,61.52,9.699999999999999,63.2,40.47,41.82,,,,47.53,42.56,,,,,,,,56.61,,
74,Meghalaya,17,South West Garo Hills,662,994.72,,5123,4175,,3047,,,32.24,,19.92,,7.12,,26.36,,3.27,,35.47,,,8.539999999999999,,9.02,,13.61,,12.88,,63.64,,37.81,1936,5123,,28.3,11.02,54.46,,,,30.01,,,,,,32.98,15.27,6.3,71.37,58.58,,,75.08,,74.47,98.98999999999999,57.04,28.51,,,,80.7,82.3,13.6,,83.68000000000001,15.5,88.31999999999999,60.59,55.12,,,,85.36,53.01,,,,,,89.45999999999999,46.37,70.73,,
75,Meghalaya,17,South West Khasi Hills,663,1024.69,,4055,2778,,741,,,51.37,,10.44,,4.07,,27.61,,3.52,,61.26,,,17.18,,8.85,,18.49,,6.34,,58.48,,63.19,2563,4055,,53.77,19.75,76.81999999999999,54.35,,65.59,31.2,,,,,,23.42,21.58,13.18,89.59999999999999,85.34,,,72.34,,99.7,97.01000000000001,48.5,63.35,,,,85.63,92.09999999999999,3.2,,41.69,31,49.26,42.88,38.66,,,,78.84,63.97,,,,,,73.05,31.13,67.69,,
76,Meghalaya,17,West Garo Hills,293,1024.68,206087.9267,16790,14420,45659.51878,8327,,,39.5,18036,14.9,6803,4.74,2146,26.26,12008,5.15,2351,30.19,12387,45659.51878,7.71,15869,7.18,14797,17.39,35839,12.05,24834,57.23,117882,26.68,4483,16790,206087.9267,48.16,14.91,47.16,,,,17.19,,,,,,45.11,10.35,1.03,86.31,83.68000000000001,,,77.86,,88.51000000000001,97.59999999999999,65.14,48.03,,,,91.28,87.3,20.7,,89.63,18.2,87.52,70.90000000000001,67.18000000000001,,,,77.05,68.20999999999999,,,,,,,,78.20999999999999,,
77,Meghalaya,17,West Jaintia Hills,664,1143.2,,13854,10650,,6408,,,48.72,,9.699999999999999,,4.04,,28.34,,3.03,,54.62,,,9.619999999999999,,15.39,,17.98,,8.800000000000001,,55.31,,64.63,,13854,,32.69,19.84,88.47,46.41,,77.70999999999999,24.49,,,,,,24.65,19.92,11.92,75.09999999999999,70.63,,,65.59999999999999,,97.29000000000001,88.05,43.95,43.12,,,,79.19,82.59999999999999,1.6,,42.17,19,50.72,28.57,30.8,,,,59.7,63.24,,,,,,71.31,41.86,79.09999999999999,,
78,Meghalaya,17,West Khasi Hills,296,1038.25,108365.576,13534,10897,36630.87568,5233,,,58.99,21612,7.97,2930,2.68,989,31.06,11392,3.13,1147,56.19,18493,36630.87568,14.62,15821,8.720000000000001,9449,15.96,17295,5.64,6112,52.06,56458,49.62,6713,13534,108365.576,51.64,21.02,81.19,41.48,,59.78,27.54,,,,,,16.41,30.33,12.88,87.78,80.52,,,60.12,,97.3,97.29000000000001,45.29,64,,,,81.64,87.40000000000001,2.9,,41.74,33.6,49.25,41.98,41.44,,,,62.52,63.41,,,,,,75.09,48.75,75.31,,
79,Punjab,3,Fazilka,641,943.8,,16687,13593,,13170,,,35.93,,9.49,,3.66,,20.19,,4.23,,70.04000000000001,,,19.35,,31.61,,27.9,,13.28,,67.06,,62.61,10448,16687,,38.56,25.88,50.49,62.69,,,12.99,,,,,,41.27,12.37,2.64,81.81,97.26000000000001,,,20.57,,97.13,95.02,65.15000000000001,36.47,,,,84.25,80,18.3,,91.67,10.9,93.66,84.27,83.63,,,,60.54,57.56,,,,,,,,56.74,,
80,Punjab,3,Firozpur,43,957.66,641887.77,16655,8772,171140.9526,8371,,,30.03,51394,12.93,22129,2.24,3834,22.01,37668,2.87,4912,73.34999999999999,112766,171140.9526,12.61,80942,39.24,251877,29.65,190320,13.22,84858,61.43,394312,61.95,10318,16655,641887.77,40.31,22.86,48.72,66.56999999999999,,,6.39,,,,,,47.45,10.51,1.87,84.77,95.56999999999999,,,21.03,,97.61,97.17,67.23,48.44,,,,84.98999999999999,83.90000000000001,21.7,,95.53,14,97.53,83.91,84.69,,,,74.53,57.59,,,,,,,,70.14,,
81,Punjab,3,Gurdaspur,35,952.27,735638.9918,25287,21031,174398.1494,20758,,,25.08,43739,9.449999999999999,16481,4.52,7883,15.28,26648,6.51,11353,70.12,109852,174398.1494,11.12,81803,41.04,301906,36.77,270494,15.12,111229,55.66,409457,43.12,10904,25287,735638.9918,56.09,43.37,50.47,43.79,,,14.63,,,,,,64.55,6.51,8.19,85.42,97.56,,,23.47,,95.20999999999999,98.7,69.36,61.09,,,,94.77,89.59999999999999,23.5,,92.40000000000001,7.7,92.66,85.95999999999999,83.81999999999999,,,,80.02,80.25,,,,,,,,,,
82,Punjab,3,Pathankot,642,952.22,,9435,12898,,12816,,,22.13,,10.26,,2.9,,10.75,,7.82,,68.26000000000001,,,11.02,,39.96,,32.96,,15.12,,55.77,,31.76,2997,9435,,61.29,43.56,41.37,49.41,,,8.73,,,,,,74.04000000000001,4.58,2.67,79.18000000000001,98.59,,,26.99,,96.55,97.92,63.53,52.42,,,,97.26000000000001,87.3,19.7,,94.8,7.7,94.95,88.51000000000001,82.43000000000001,,,,77.37,65.77,,,,,,,,,,
83,Telangana,36,Adilabad,532,991.99,805986.1298,13809,14169,214695.5758,14109,,,45.73,98116,29.49,63335,12.9,27696,52,111642,2.93,6291,76.25,147154,214695.5758,26.9,216810,15.73,126782,23.1,186183,10.78,86885,61.11,492458,60.95,8423,13809,805986.1298,44.38,21.81,20.43,72.22,,,9.56,,,,,,41.04,21.41,7.83,50.84,95.65000000000001,,,63.62,,97.58,94.06999999999999,89.7,74.78,,,,90.93000000000001,80.40000000000001,29.7,,94.11,13.2,93.89,83.42,80.28,,,,69.29000000000001,85.7,,,,,,65.04000000000001,42.7,74.95,,
84,Telangana,36,Bhadradri Kothagudem,702,1081.65,,16222,14350,,13924,,,28.41,,21.84,,9.029999999999999,,25.25,,3.69,,69.33,,,14.87,,31.04,,29.61,,18.34,,69.3,,50.64,,16222,,62.49,42.3,40.24,,,,12.44,,,,,,41.78,20.8,13.01,75.33,99.06,,,59.37,,97.65000000000001,98.56,92.75,70.13,,,,91.19,90.59999999999999,31.9,,97.37,18.4,94.19,87.14,85.42,,,,80.41,73.18000000000001,,,,,,,,82.39,,
85,Telangana,36,Hyderabad,536,959,1214408.972,124366,139246,335941.4907,138682,,,30.41,102126,17.67,59462,8.01,26875,18.91,63493,4.33,14546,63.57,191931,335941.4907,12.43,150587,51.04,619834,30.22,366994,21.22,257698,52.48,637565,,,124366,1214408.972,72.2,38.38,48.1,,,,4.78,,,,,,63.16,10.62,2.2,84.43000000000001,99.56,,,48.9,,97.41,94.38,87.94,69.93000000000001,,,,89.59999999999999,90.8,20.8,,98.31999999999999,6.7,94.58,91.17,94.88,,,,73.76000000000001,62.03,,,,,,,,,,
86,Telangana,36,Jagitial,703,1219.33,,15991,17070,,15669,,,29.85,,17.5,,8.41,,32.29,,5.46,,59.85,,,22.45,,26.03,,25.46,,15.51,,56.39,,,,15991,,53.45,36.28,27.49,,,,13.62,,,,,,43.46,28.43,3.06,76.48999999999999,97.33,,,59.22,,96.48,95.5,94.64,81.84999999999999,,,,87.89,88.59999999999999,18.3,,94.43000000000001,19.8,91.89,84.09,89.93000000000001,,,,77.68000000000001,72.48,,,,,,,,72.97,,
87,Telangana,36,Jangoan,704,1066.22,,7564,7641,,7633,,,33.4,,22.87,,10.12,,30.89,,6.42,,69.47,,,18.19,,24.14,,26.11,,14.35,,57.33,,,,7564,,59.4,34.8,41.94,79.34,,,10.72,,,,,,44.04,20.33,6.5,84.34,99.37,,,71.68000000000001,,96.81,98.84999999999999,89.69,65.41,,,,86.08,94.40000000000001,21.7,,99.56,5.3,90.06999999999999,85.61,96.51000000000001,,,,84.22,80.75,,,,,,,,81,,
88,Telangana,36,Jayashankar Bhupalapally,705,1078.93,,10701,5135,,4903,,,32.45,,31.83,,14.55,,36.67,,1.41,,67.93000000000001,,,17.67,,22.36,,28.41,,13.51,,66.42,,,,10701,,58.93,35.26,44.59,,,,12.62,,,,,,36.33,24.86,13.16,65.58,95.14,,,71.47,,97.68000000000001,93.98999999999999,94.56999999999999,72.72,,,,94.08,85.09999999999999,24.1,,99.48999999999999,13.6,95.08,89.06,89.59,,,,87.90000000000001,70.47,,,,,,,,71.19,,
89,Telangana,36,Jogulamba Gadwal,706,1036.52,,27092,9019,,7217,,,49.7,,17.29,,4.89,,41.73,,2.79,,82.39,,,27.51,,21.89,,21.49,,9.27,,64.06,,76.87,,27092,,56.64,27.61,40.01,76.73999999999999,,,7.22,,,,,,27.41,34.6,15.85,73.73,96.98,,,61.75,,85.31,96.51000000000001,88.29000000000001,72.91,,,,92.56999999999999,86.59999999999999,21.8,,94.15000000000001,12.1,91.65000000000001,88.3,88.23999999999999,,,,86.84999999999999,75.01000000000001,,,,,,,,88.70999999999999,,
90,Telangana,36,Kamareddy,707,1103.84,,35831,17500,,15955,,,33.36,,34.47,,17.87,,43.94,,3.06,,71.56,,,21.65,,21.04,,27.66,,12.88,,59.52,,,,35831,,56.07,28.32,37.71,54.15,,,11.67,,,,,,35.62,30.81,1.11,68.18000000000001,99.37,,,66.5,,93.59,96.84,87.48999999999999,79.5,,,,90.59999999999999,93.40000000000001,23.6,,97.05,18.1,93.20999999999999,86.75,89.04000000000001,,,,75.54000000000001,79.63,,,,,,,,72.81999999999999,,
91,Telangana,36,Karimnagar,534,1065.04,1137778.563,16740,18381,235349.9795,18228,,,30.26,71311,13.88,32714,4.84,11297,27.49,64721,5.85,13768,70.83,149683,235349.9795,20.55,234382,28.78,327453,24.96,283990,16.82,191374,61.07,695183,61.02,10211,16740,1137778.563,48.77,38.57,30.25,,,,10.32,,,,,,50.8,11.87,7.57,78.83,98.27,,,58.57,,99.09,88.23999999999999,92.25,69.64,,,,85.2,91.8,17.1,,98.36,9.9,86.92,89.51000000000001,95.94,,,,73.39,79.81,,,,,,59.22,36.83,70.31999999999999,,
92,Telangana,36,Khammam,541,1060.75,872254.111,20236,22985,198112.8288,22444,,,22.15,43981,24.65,48934,15.04,29717,26.23,51906,6.03,11946,60.46,107669,198112.8288,12.76,111649,36.08,314709,27.61,240829,17.73,154651,62.15,542542,68.76000000000001,13922,20236,872254.111,66.65000000000001,34.86,30.63,,,,8.68,,,,,,40.88,34.97,10.92,84.48,98.41,,,60.36,,96.59999999999999,99.34999999999999,84.89,76.25,,,,97.25,95.09999999999999,30.3,,97.92,11.3,93.16,93.19,91.54000000000001,,,,86.56999999999999,70.86,,,,,,,,73.33,,
93,Telangana,36,Komaram Bheem Asifabad,708,1024.43,,11121,6337,,6301,,,38.05,,35.65,,14.36,,41.09,,2.66,,70.67,,,25.68,,14,,21.81,,8.42,,67.33,,65.81,,11121,,49.04,18.76,42.58,,,,9.4,,,,,,28.73,25.03,4.58,54.03,93.55,,,63.55,,92.87,96.70999999999999,80.04000000000001,68.81,,,,91.83,92.5,26.2,,82.03,22.9,83.38,85.48999999999999,81.88,,,,76.16,74.95999999999999,,,,,,,,59.22,,
94,Telangana,36,Mahabubabad,709,1066.73,,12654,10504,,,,,32.98,,19.29,,5.19,,26.31,,3.57,,81.06999999999999,,,18.58,,23.74,,21.9,,14.14,,63.03,,54.08,,12654,,52.09,32.35,50.45,,,,3.36,,,,,,34.7,28.29,6.63,68.55,98.23,,,69.26000000000001,,96.16,98.09999999999999,87.77,67.73999999999999,,,,93.98,84.40000000000001,27.6,,97.65000000000001,5.5,95.36,91.51000000000001,94.3,,,,76.13,73.62,,,,,,,,79.73999999999999,,
95,Telangana,36,Mahabubnagar,538,1035.06,1152981.723,28413,23379,365382.8585,23345,,,42.63,155653,17.81,65038,8.73,31788,32.99,120576,4.14,15127,82.62,271114,365382.8585,24.01,276716,24.01,276831,24.19,278906,10.78,124291,55.1,635293,44.89,12757,28413,1152981.723,69.13,45.46,42.92,73.97,,,5.4,,,,,,40.35,23.4,9.15,73.72,99.64,,,70.27,,94.06,98.7,86.23,62.6,,,,90.22,93.59999999999999,25.9,,98.09999999999999,14.2,97.63,84.94,85.48,,,,89.39,70.84,,,,,,,,81.18000000000001,,
96,Telangana,36,Mancherial,710,1065.03,,11901,10363,,,,,25.88,,22.06,,9.960000000000001,,27.39,,3.35,,58.69,,,21.9,,24.55,,27.89,,14.19,,57.07,,,,11901,,68.05,49.03,24.19,,,,5.87,,,,,,48.75,13.98,3.68,78.14,95.62,,,64.40000000000001,,97.73,93.56999999999999,86.65000000000001,64.7,,,,89.56,95.40000000000001,24.5,,90.06999999999999,9.4,96.90000000000001,87.67,85.31999999999999,,,,76.03,63.86,,,,,,,,67.51000000000001,,
97,Telangana,36,Medak,535,1051.19,886680.5783000001,15748,8758,260300.1866,8668,,,36.35,94749,21.25,55444,3.54,9111,41.99,109326,1.14,2967,70.02,163680,260300.1866,25.44,225217,23.28,206419,26.65,236300,14.01,124224,54.77,485901,,,15748,886680.5783000001,41.81,23.4,32.93,70.84,,,12.26,,,,,,39.33,31.81,6.54,78.16,99.87,,,61.19,,97.09999999999999,97.67,78.94,68.52,,,,81.3,89.2,27.7,,98.87,13.5,92.93000000000001,80.83,89.81999999999999,,,,69.31,85.23999999999999,,,,,,41.55,37.52,60.13,,
98,Telangana,36,Medchal-Malkajgiri,711,995.75,,70407,41623,,41241,,,33.36,,11.98,,4.98,,25.04,,1.22,,73.78,,,15.2,,41.79,,26.46,,16.49,,57.35,,,,70407,,60.82,31.79,42.89,,,,10.91,,,,,,59.33,10.17,3.08,86.17,99.94,,,53.75,,98.79000000000001,96.19,89.38,69.62,,,,92.23999999999999,90.3,14.7,,98.26000000000001,8.9,96.17,90.64,90.06999999999999,,,,76.11,69.54000000000001,,,,,,,,63.82,,
99,Telangana,36,Nagarkurnool,712,1065.5,,17678,14338,,14160,,,35.12,,27.25,,6.95,,30.9,,2.46,,75.09,,,19.12,,22.81,,24.55,,12.5,,53.53,,,,17678,,65.94,41.14,40.95,74.98999999999999,,,5.39,,,,,,35.97,32.12,5.25,73.15000000000001,99.59999999999999,,,68.61,,92,97,92.37,75.13,,,,88.47,86.40000000000001,23.4,,98.02,14.7,94.48,90.27,90.98999999999999,,,,81.09,64.68000000000001,,,,,,,,86.59,,
100,Telangana,36,Nalgonda,539,1016.58,1027330.477,26126,22451,260408.1472,21094,,,31.67,82549,29.8,77602,14.47,37759,27.97,72914,1.69,4401,74.5,174275,260408.1472,15.53,159236,28.5,292789,19.63,201665,13.77,141463,54.19,556813,58.33,15231,26126,1027330.477,66.79000000000001,40.12,48.46,,,,7.1,,,,,,40.9,28.16,6,76.36,99.23999999999999,,,64.79000000000001,,87.45,98.65000000000001,90.45,65.72,,,,91.81999999999999,96.09999999999999,28.3,,98.27,21.5,99.01000000000001,92.22,95.33,,,,78.27,72.64,,,,,,,,76.73,,
101,Telangana,36,Nirmal,713,1170.6,,12943,12623,,12434,,,31.67,,18.13,,6.59,,33.36,,1.43,,65.29000000000001,,,26.94,,22.5,,25.06,,11.7,,58.05,,47.23,,12943,,58.67,34.63,20.89,61.66,,,10.47,,,,,,40.91,23.34,9.640000000000001,63.63,98.3,,,49.93,,95.06,96.94,85.22,69.65000000000001,,,,91.22,87.2,24.6,,96.65000000000001,10,91.59999999999999,87.15000000000001,90.95999999999999,,,,75.34,84.14,,,,,,,,56.28,,
102,Telangana,36,Nizamabad,533,1132.1,764094.7665,29239,26974,200285.4072,26949,,,30.49,61087,26.18,52475,4.32,8612,38.41,76910,2.83,5668,65.27,117486,200285.4072,21.04,160460,27.51,210202,27.13,207299,13.45,102771,57.69,440883,38.91,11374,29239,764094.7665,40.93,28.16,25.6,,,,18.36,,,,,,42.44,23.71,3.84,72.54000000000001,99.42,,,52.31,,96.86,96.16,87.90000000000001,78.53,,,,80,90,22.6,,97.3,12.1,91.84,79.48,85.84999999999999,,,,86.11,82.98999999999999,,,,,,56.55,42.23,66.98999999999999,,
103,Telangana,36,Peddapalli,714,1027.61,,29709,11112,,10909,,,27.48,,28.75,,15.61,,33.09,,1.57,,69.55,,,16.51,,26.11,,27.69,,13.68,,64.56999999999999,,,,29709,,60.95,41.9,26.27,,,,13.79,,,,,,46.63,13.57,4.62,77.81,97.98,,,59.14,,97.75,92.91,83.52,77.88,,,,87.04000000000001,88.40000000000001,25.7,,96.47,19.1,96.22,87.62,89.76000000000001,,,,73.14,66.31,,,,,,,,72.33,,
104,Telangana,36,Rajanna Sircilla,715,1167.41,,9240,8321,,8156,,,22.42,,19.37,,8.92,,26.07,,2.34,,65.73,,,18.58,,23.83,,30.2,,13.19,,56.59,,36.62,,9240,,55.17,34.01,32.48,,,,7.76,,,,,,46.35,13.24,3.04,77.42,98.69,,,62.81,,98.53,98.97,90.34999999999999,67.06,,,,96.31999999999999,90.8,26.7,,97.55,10.5,95.40000000000001,89.92,90.13,,,,84.09999999999999,73.31,,,,,,,,72.65000000000001,,
105,Telangana,36,Ranga Reddy,537,1022.3,1617356.893,57043,47993,457866.015,,,,37.77,173073,13.9,63643,5.12,23351,29.47,135070,3.99,18269,75.81,311768,457866.015,14.87,240986,40.62,656970,28.47,460462,15.25,246647,53.61,866903,44.81,25555,57043,1617356.893,48.23,26.6,40.34,,,,7.23,,,,,,51.44,29.03,5.15,81.09999999999999,99.41,,,58.29,,98.18000000000001,95.26000000000001,95.51000000000001,75.09,,,,90.3,83.40000000000001,17.4,,97.17,15.5,92.73999999999999,89.81999999999999,89.95999999999999,,,,85.76000000000001,67.75,,,,,,,,72.16,,
106,Telangana,36,Sangareddy,716,1052.87,,27118,24482,,24400,,,32.85,,25.01,,5.94,,35.06,,2.96,,66.98,,,19.99,,29.44,,25.66,,11.25,,47.86,,63.87,,27118,,43.95,21.56,32.22,,,,6.37,,,,,,41.47,30.6,4.38,68.01000000000001,99.34999999999999,,,58.14,,97.48,98.28,82.78,66.38,,,,89.45999999999999,92.90000000000001,10.4,,92.95999999999999,19.7,95.08,84.67,89.04000000000001,,,,78.48999999999999,74.02,,,,,,53.09,50.72,77.75,,
107,Telangana,36,Siddipet,717,1061.68,,19918,17092,,16107,,,28.06,,19.31,,4.71,,29.57,,1.53,,63.51,,,17.85,,26.81,,26.64,,14.73,,56.9,,,,19918,,60.6,41.48,34.89,,,,14.14,,,,,,51.3,19.01,.98,84.14,97.23999999999999,,,60.93,,98.48,98.87,86.12,62.62,,,,89.77,94.3,23,,99.65000000000001,18.2,90.45,74.05,85.91,,,,63.05,81.02,,,,,,,,71.09,,
108,Telangana,36,Suryapet,718,1031.67,,20214,16634,,16360,,,29.14,,24.9,,8.82,,30.05,,2.84,,76.59999999999999,,,15.98,,33.92,,25.18,,17.72,,58.07,,39.78,,20214,,67.05,38.92,22.52,,,,15.05,,,,,,42.53,29.47,6.18,77.94,99.78,,,63.13,,93.02,99.66,92.72,70.42,,,,87.06999999999999,97.8,20.6,,95.94,16.2,94.22,88.61,88.68000000000001,,,,70.37,70.18000000000001,,,,,,,,61.62,,
109,Telangana,36,Vikarabad,719,998.3099999999999,,23552,16798,,15564,,,32.12,,19.99,,5.79,,37.12,,.77,,69.98,,,25.59,,25.67,,27.04,,10.78,,61.26,,,,23552,,37.21,24.4,39.72,,,,11.14,,,,,,38.34,39.76,9.960000000000001,66.72,99.73,,,59.56,,89.14,98.7,77.97,54.82,,,,83.17,93,18,,95.01000000000001,9.1,86.70999999999999,80.77,86.89,,,,86.20999999999999,66.05,,,,,,44.48,31.63,77.79000000000001,,
110,Telangana,36,Wanaparthy,720,1018.45,,9840,8210,,7924,,,40.42,,15.07,,4.37,,33.22,,4.92,,75.3,,,24.6,,23.54,,22.54,,13.9,,58.52,,63.45,,9840,,64.25,38.75,43.45,75.20999999999999,,,7.52,,,,,,37.01,32.6,4.73,75.86,99.42,,,70.14,,93.5,100,91.34999999999999,62.77,,,,92.63,95.90000000000001,23.8,,98.95,13.8,96.64,87.58,83.62,,,,86.95,71.42,,,,,,,,82.28,,
111,Telangana,36,Warangal Rural,721,1070.14,,10879,11058,,10827,,,36.13,,18.95,,8.9,,37.94,,2.37,,71.53,,,22.63,,26.37,,26.31,,15.63,,59.22,,61.48,,10879,,51.91,35.19,33.79,,,,5.11,,,,,,39.98,22.85,12.87,74.34,98.95999999999999,,,71.98,,97.36,98.73,86.8,70.42,,,,82.28,89.7,20.7,,100,18.3,94.5,93.78,90.48999999999999,,,,79,83.69,,,,,,25.78,41.67,69.81999999999999,,
112,Telangana,36,Warangal Urban,722,1086.94,,15730,24846,,24618,,,29.54,,29.5,,12.58,,36.02,,4.35,,67.02,,,16.83,,31.96,,24.45,,17.09,,57.8,,,,15730,,63.69,38.93,29.76,,,,9.34,,,,,,57.16,22.67,4.29,81.2,99.13,,,61.99,,96.59,96.39,88.38,71.31,,,,96.18000000000001,92.8,19.6,,99.7,11.2,93.04000000000001,92.63,92.27,,,,70.09,78.54000000000001,,,,,,,,81.45,,
113,Telangana,36,Yadadri Bhuvanagiri,723,1071.12,,22401,12350,,11181,,,38.28,,10.27,,2.99,,27.22,,5.45,,65.31,,,19.36,,24.59,,24.84,,14.63,,54.25,,38.52,,22401,,60.5,35.69,43.72,69.69,,,3.89,,,,,,47.95,21.58,1.65,81.94,99.73,,,65.25,,98.65000000000001,97.93000000000001,92.12,67.23,,,,91.53,91.90000000000001,28.2,,97.68000000000001,9,94.05,93.20999999999999,94.94,,,,76.70999999999999,69.61,,,,,,,,67.33,,
114,Tripura,16,Gomati,656,1011.39,,6913,5926,,5808,,,22.67,,27.62,,11.19,,29.02,,3.4,,70.73999999999999,,,14.14,,19.55,,19.78,,16.76,,62.57,,52.77,3650,6913,,22.03,6.62,24.81,46.62,,,12.55,,,,,,22.77,42.75,24.37,77.44,87.66,,,29.94,,99,91.13,54.01,40.63,,,,91.69,92.8,14.1,,93.2,10.1,94.06,66.31,68.58,,,,67.05,74.55,,,,,,,,62.76,,
115,Tripura,16,Khowai,657,1058.71,,4797,2952,,2857,,,47.01,,16.57,,6.18,,24.73,,8.130000000000001,,73.36,,,18.72,,15.41,,19.01,,17.78,,63.73,,63.69,3056,4797,,37.98,16.58,20.92,,,,12.88,,,,,,18.87,28.28,24.27,67.79000000000001,83.19,,,44.14,,100,97.67,57.17,41.5,,,,96.75,92.59999999999999,24.4,,95.72,19.7,95.19,59.66,62.89,,,,60.65,68.13,,,,,,,,,,
116,Tripura,16,North Tripura,292,1040.17,214783.6459,8822,5529,63913.19891,4138,,,26.24,16745,29.99,19174,18.07,11568,32.15,20580,8.960000000000001,5727,52.49,30142,63913.19891,18.57,39950,16.8,36084,18.8,40379,18.27,39241,69.58,149489,55.31,4879,8822,214783.6459,17.29,3.83,61.08,58.07,,,11.81,,,,,,23.68,34.19,11.94,74.13,75.58,,,28.65,,99.2,93.84,75.45999999999999,67.09999999999999,,,,95.04000000000001,82.40000000000001,13.9,,85.36,14.9,86.66,76.55,77.36,,,,69.59,61.64,,,,,,,,69.40000000000001,,
117,Tripura,16,Sepahijala,658,1021.45,,8409,3648,,3405,,,34.54,,14.89,,6.71,,20.99,,12.36,,72.11,,,13.88,,24.21,,19.31,,18.19,,69.84,,55.75,4692,8409,,18.78,6.77,46.4,,,,12.81,,,,,,21.73,51.92,26.55,75.38,97.38,,,31.6,,99.72,93,61.93,52.78,,,,90.19,92.2,8.199999999999999,,87.73,14,87.17,72.06,70.13,,,,70.3,80.78,,,,,,,,61.55,,
118,Tripura,16,South Tripura,290,1053.88,274006.8466,7128,4618,70871.42151,4473,,,25.53,18072,15.27,10843,5.17,3685,21.64,15308,5.04,3572,59.64,37944,70871.42151,16.8,46033,22.82,62528,22.35,61241,18.24,49979,66.8,183037,57.07,4070,7128,274006.8466,29.52,13.31,15.76,,,,9.880000000000001,,,,,,21.64,46.23,23.1,68.61,90.51000000000001,,,37.28,,99.29000000000001,84.58,54.2,58.42,,,,89.42,90.8,21.4,,89.72,13.6,88.56,67.98999999999999,67.65000000000001,,,,48.45,75.15000000000001,,,,,,69.23,23.51,63.56,,
119,Tripura,16,Unakoti,659,1079.1,,5354,3451,,2887,,,31.77,,19.34,,3.96,,31.97,,1.94,,62.8,,,25.96,,16.6,,21.01,,16.9,,67.37,,76.73999999999999,4107,5354,,31.64,14.26,21.74,,,,9.359999999999999,,,,,,18.7,37.97,21.15,61.75,78.56,,,28.01,,99.3,89.34999999999999,40.98,24.59,,,,95.55,85.2,6.8,,71.5,10.9,66.03,44.5,46.68,,,,58.26,73.7,,,,,,,,60.49,,
